interval_id,phase,scored,start_ts,end_ts,interval_valid,D_i,mean_velocity,mean_acceleration,movement_variance,total_blinks,gaze_deviations
129,FOCUS,True,1788618167.296,1788618169.256,True,1.0,2.074388810673288,17.436248379373097,0.024456256875406042,0,0
130,FOCUS,True,1788618169.256,1788618171.354,True,1.0,2.1037434695248813,19.655451239930592,0.02327788098360383,0,5
131,FOCUS,True,1788618171.354,1788618173.491,True,1.0,1.419147248659083,8.161455699197205,0.009099654924924974,0,0
132,FOCUS,True,1788618173.491,1788618175.455,True,1.0,1.1481021209738542,5.962225342071761,0.005056678364349919,0,0
133,FOCUS,True,1788618175.455,1788618177.543,True,1.0,1.3819979037241252,8.507328507216073,0.00794752985890489,0,0
134,FOCUS,True,1788618177.543,1788618179.61,True,1.0,1.5368734335788894,10.332909609912075,0.011168022872958172,0,0
135,FOCUS,True,1788618179.61,1788618181.727,True,1.0,1.1825636035043119,7.712577744891306,0.007582908736700862,0,0
136,FOCUS,True,1788618181.727,1788618183.657,True,1.0,1.6060333389127186,9.841491550196272,0.01270467527662555,0,0
137,FOCUS,True,1788618183.657,1788618185.742,True,1.0,1.531597802247596,9.410305385383042,0.01303765380380453,0,0
138,FOCUS,True,1788618185.742,1788618187.813,True,1.0,1.0257610683494627,5.862801718740066,0.005495800917164795,1,0
139,FOCUS,True,1788618187.813,1788618189.705,True,1.0,1.8052622099449003,11.430530355012175,0.012709446630206534,1,7
140,FOCUS,True,1788618189.705,1788618191.679,True,1.0,1.1862505678931758,9.897948499344823,0.007221461946585175,0,1
141,FOCUS,True,1788618191.679,1788618193.676,True,1.0,2.1284817574698773,15.98156078218768,0.01862490767183659,0,0
142,FOCUS,True,1788618193.676,1788618195.662,True,1.0,1.3312982764805663,14.227944797838578,0.010594452754308054,1,8
143,FOCUS,True,1788618195.662,1788618197.601,True,1.0,1.4675214576654398,11.679837897410025,0.012095126413051977,0,0
144,FOCUS,True,1788618197.601,1788618199.54,True,1.0,1.3457470301679457,9.19654636971508,0.009080925991351782,1,10
145,FOCUS,True,1788618199.54,1788618201.427,True,1.0,1.882101920097994,10.275082788769387,0.014763869347957502,0,7
146,FOCUS,True,1788618201.427,1788618203.548,True,1.0,1.264059739773791,10.224693889782658,0.008889441064200839,1,0
147,FOCUS,True,1788618203.548,1788618205.604,True,1.0,1.7230563728999495,14.648066253852281,0.016148439793875535,0,3
148,FOCUS,True,1788618205.604,1788618207.713,True,1.0,1.8438315897358706,14.263474864712139,0.020109199487810477,0,6
149,FOCUS,True,1788618207.713,1788618209.793,True,1.0,1.0725707509632865,9.687682615323782,0.006654403353970839,0,4
150,FOCUS,True,1788618209.793,1788618211.717,True,1.0,1.3431582129182935,9.626284644303654,0.008591964729045302,1,0
151,FOCUS,True,1788618211.717,1788618213.737,True,1.0,1.623606006100734,11.01944014573584,0.014196236208980657,0,2
152,FOCUS,True,1788618213.737,1788618215.876,True,1.0,2.1147875794526967,11.907313679525904,0.01897541335728359,1,4
153,FOCUS,True,1788618215.876,1788618217.827,True,1.0,1.3883423339313028,14.3690417442501,0.010881890017407372,0,0
154,FOCUS,True,1788618217.827,1788618219.708,True,1.0,1.2313759043724621,7.803092680878641,0.00810592658864376,0,15
155,FOCUS,True,1788618219.708,1788618221.649,True,1.0,1.4087374551611749,12.524871440980053,0.011227697538186553,0,2
156,FOCUS,True,1788618221.649,1788618223.789,True,1.0,1.2539278070782256,7.366125571474596,0.006985808296399855,0,0
157,FOCUS,True,1788618223.789,1788618225.646,True,1.0,1.0935235924697466,7.936002040824616,0.006373644265068838,1,0
158,FOCUS,True,1788618225.646,1788618227.749,True,1.0,1.5059169082859358,13.446500007618956,0.009827278060734211,0,3
159,FOCUS,True,1788618227.749,1788618229.862,True,1.0,1.303677953241461,11.636407763260522,0.008983352224006449,0,0
160,FOCUS,True,1788618229.862,1788618231.814,True,1.0,1.610456812935743,9.548195673386818,0.016183998575255758,1,0
161,FOCUS,True,1788618231.814,1788618233.745,True,1.0,1.451451073567789,8.284271645721235,0.009903359269461464,1,0
162,FOCUS,True,1788618233.745,1788618235.649,True,1.0,1.7984742745660938,17.50173057890026,0.01922554204048617,0,0
163,FOCUS,True,1788618235.649,1788618237.55,True,1.0,1.560710556437984,8.148910613632273,0.01353856726349456,1,0
164,FOCUS,True,1788618237.55,1788618239.473,True,1.0,1.1638749072974353,8.987254361914705,0.0077635973257754835,0,0
165,FOCUS,True,1788618239.473,1788618241.587,True,1.0,1.3860956234156103,9.72562151158958,0.01005971328049172,0,0
166,FOCUS,True,1788618241.587,1788618243.717,True,1.0,1.4825716652944065,11.379820662723915,0.012539933269894884,1,0
167,FOCUS,True,1788618243.717,1788618245.814,True,1.0,1.4021798203376048,12.230200839599531,0.013860118719849723,0,0
168,FOCUS,True,1788618245.814,1788618247.858,True,1.0,1.1836763854170693,8.829382960331628,0.008414345790577978,0,0
169,FOCUS,True,1788618247.858,1788618249.983,True,1.0,1.516784962395662,12.734812022730479,0.013138427509399081,0,0
170,FOCUS,True,1788618249.983,1788618251.887,True,1.0,0.9421017378752189,7.250438549092842,0.004578297470819498,2,0
171,FOCUS,True,1788618251.887,1788618253.899,True,1.0,1.4536106036066456,10.322189729606285,0.010114651493737668,0,0
172,FOCUS,True,1788618253.899,1788618255.983,True,1.0,1.3362474961649913,6.953352356779466,0.009539271066945198,0,0
173,FOCUS,True,1788618255.983,1788618257.902,True,1.0,1.103232257492769,7.4155115908272276,0.005127048138761417,0,0
174,FOCUS,True,1788618257.902,1788618259.913,True,1.0,1.5364442848053768,11.101701797436156,0.010880477689429876,0,0
175,FOCUS,True,1788618259.913,1788618261.81,True,1.0,1.4767367522125296,9.987898372810958,0.010083388056769702,1,0
176,FOCUS,True,1788618261.81,1788618263.933,True,1.0,1.3021507286617104,8.00226139224592,0.007640067911861968,0,0
177,FOCUS,True,1788618263.933,1788618265.991,True,1.0,0.8590958713323884,5.300036145043871,0.003938942015246154,0,0
178,FOCUS,True,1788618265.991,1788618268.125,True,1.0,1.2120930508829397,7.6407337919390645,0.007558493118991028,2,0
179,FOCUS,True,1788618268.125,1788618270.123,True,1.0,1.2280219617656873,6.659938053226272,0.006979614172295298,0,0
180,FOCUS,True,1788618270.123,1788618272.137,True,1.0,1.7029895110206918,13.060236764669147,0.01616812904713624,0,0
181,FOCUS,True,1788618272.137,1788618274.159,True,1.0,1.3371239852606367,8.928248371945408,0.009521114714253705,0,0
182,FOCUS,True,1788618274.159,1788618276.036,True,1.0,1.3158561749348203,9.460133965981528,0.007545681754673062,0,0
183,FOCUS,True,1788618276.036,1788618278.021,True,1.0,1.688520837768556,11.408825666765322,0.01385168057537367,0,0
184,FOCUS,True,1788618278.021,1788618280.05,True,1.0,1.1178360648680643,8.83462646096692,0.006076215954070708,0,0
185,FOCUS,True,1788618280.05,1788618281.907,True,1.0,1.3221511513602706,8.868893201823369,0.011557659397683733,0,0
186,FOCUS,True,1788618281.907,1788618284.017,True,1.0,1.210557358904779,7.04466933479459,0.007647360448682102,0,0
187,FOCUS,True,1788618284.017,1788618286.036,True,1.0,1.4495914387921232,12.267003608250246,0.01007303523296871,2,0
188,FOCUS,True,1788618286.036,1788618287.888,True,1.0,1.0647746390912742,4.1100551730021015,0.009970715533789355,0,0
189,FOCUS,True,1788618287.888,1788618289.816,True,1.0,1.4162388549497842,10.014577441321578,0.011002218506396835,0,0
190,FOCUS,True,1788618289.816,1788618291.751,True,1.0,1.6868172038562625,10.79130493738175,0.012953471391173125,0,0
191,FOCUS,True,1788618291.751,1788618293.841,True,1.0,1.2915720335049117,10.0166143682243,0.007812303759725139,0,0
192,FOCUS,True,1788618293.841,1788618295.978,True,1.0,1.3446618354073336,7.721397964985141,0.008204334703084983,0,0
193,FOCUS,True,1788618295.978,1788618298.08,True,1.0,1.5049374185997322,5.5453176182751145,0.008531473898331811,0,0
194,FOCUS,True,1788618298.08,1788618300.08,True,1.0,1.5003386616422014,8.702522372046484,0.01210050159685075,2,0
195,FOCUS,True,1788618300.08,1788618302.046,True,1.0,1.5064701741101716,7.814767609604274,0.009646538420530908,0,0
196,FOCUS,True,1788618302.046,1788618303.993,True,1.0,1.0370844037346472,3.999682628579098,0.0044989225757648445,0,0
197,FOCUS,True,1788618303.993,1788618305.907,True,1.0,1.0288397983928816,5.626556582728713,0.00497831642539743,0,0
198,FOCUS,True,1788618305.907,1788618308.788,True,1.0,1.420362576742267,9.525429823330526,0.009094025627210138,0,0
199,FOCUS,True,1788618308.788,1788618310.796,True,1.0,1.4012318740351248,9.356824684809016,0.008428131485830648,0,0
200,FOCUS,True,1788618310.796,1788618312.709,True,1.0,1.051503826003615,7.987275529190653,0.005062337924263086,0,0
201,CONTROL,True,1788618312.709,1788618314.426,True,1.0,1.7142843776340124,10.063127301694983,0.010784108911087423,0,0
202,CONTROL,True,1788618314.426,1788618316.156,True,1.0,1.221036306195641,9.505003403530669,0.00915324052876654,0,0
203,CONTROL,True,1788618316.156,1788618322.859,True,1.0,1.254547281978446,9.018684039755621,0.0080392070822758,0,0
204,CONTROL,True,1788618322.859,1788618324.518,True,1.0,1.0347303338696103,5.530635122893426,0.005349090407435663,0,0
205,CONTROL,True,1788618324.518,1788618330.686,True,1.0,1.8993429442380059,13.694181672019516,0.007970663916210981,0,0
206,CONTROL,True,1788618330.686,1788618332.188,True,1.0,1.8972467196777265,29.238489749357328,0.011842108005979308,0,1
207,CONTROL,True,1788618332.188,1788618333.736,True,1.0,1.4739311261561698,10.343518414518119,0.009550314407487367,0,0
208,CONTROL,True,1788618333.736,1788618335.253,True,1.0,1.132099127946361,6.111127403918871,0.005172395660902075,0,1
209,CONTROL,True,1788618335.253,1788618336.983,True,1.0,1.3796661292015517,9.40049805025096,0.008480407923932136,1,0
210,CONTROL,True,1788618336.983,1788618338.585,True,1.0,1.324293159823729,9.25356494327514,0.008847177873559143,0,0
211,CONTROL,True,1788618338.585,1788618340.217,True,1.0,1.4909013447462416,10.402226068456779,0.00912113644478732,0,0
212,CONTROL,True,1788618340.217,1788618341.907,True,1.0,1.5620718065026034,8.475686652659556,0.010338051805654698,0,0
213,CONTROL,True,1788618341.907,1788618343.47,True,1.0,1.4946723279200804,9.363131989362133,0.009667431132952556,0,0
214,CONTROL,True,1788618343.47,1788618345.184,True,1.0,1.457180424601914,8.801567491125752,0.0075167904472227395,0,0
